time my_pulse
0.0000000000e+00 9.7969687553e-09
2.5001875141e-12 1.0275112283e-08
5.0003750281e-12 1.0775927423e-08
7.5005625422e-12 1.1300455955e-08
1.0000750056e-11 1.1849785908e-08
1.2500937570e-11 1.2425053542e-08
1.5001125084e-11 1.3027445401e-08
1.7501312598e-11 1.3658200454e-08
2.0001500113e-11 1.4318612329e-08
2.2501687627e-11 1.5010031627e-08
2.5001875141e-11 1.5733868337e-08
2.7502062655e-11 1.6491594351e-08
3.0002250169e-11 1.7284746074e-08
3.2502437683e-11 1.8114927146e-08
3.5002625197e-11 1.8983811265e-08
3.7502812711e-11 1.9893145137e-08
4.0003000225e-11 2.0844751532e-08
4.2503187739e-11 2.1840532466e-08
4.5003375253e-11 2.2882472517e-08
4.7503562767e-11 2.3972642263e-08
5.0003750281e-11 2.5113201866e-08
5.2503937795e-11 2.6306404789e-08
5.5004125309e-11 2.7554601675e-08
5.7504312823e-11 2.8860244361e-08
6.0004500338e-11 3.0225890069e-08
6.2504687852e-11 3.1654205749e-08
6.5004875366e-11 3.3147972600e-08
6.7505062880e-11 3.4710090765e-08
7.0005250394e-11 3.6343584217e-08
7.2505437908e-11 3.8051605825e-08
7.5005625422e-11 3.9837442628e-08
7.7505812936e-11 4.1704521311e-08
8.0006000450e-11 4.3656413892e-08
8.2506187964e-11 4.5696843636e-08
8.5006375478e-11 4.7829691189e-08
8.7506562992e-11 5.0059000957e-08
9.0006750506e-11 5.2388987732e-08
9.2506938020e-11 5.4824043566e-08
9.5007125534e-11 5.7368744912e-08
9.7507313048e-11 6.0027860047e-08
1.0000750056e-10 6.2806356766e-08
1.0250768808e-10 6.5709410381e-08
1.0500787559e-10 6.8742412017e-08
1.0750806310e-10 7.1910977232e-08
1.1000825062e-10 7.5220954954e-08
1.1250843813e-10 7.8678436770e-08
1.1500862565e-10 8.2289766551e-08
1.1750881316e-10 8.6061550452e-08
1.2000900068e-10 9.0000667285e-08
1.2250918819e-10 9.4114279279e-08
1.2500937570e-10 9.8409843247e-08
1.2750956322e-10 1.0289512217e-07
1.3000975073e-10 1.0757819722e-07
1.3250993825e-10 1.1246748021e-07
1.3501012576e-10 1.1757172652e-07
1.3751031327e-10 1.2290004854e-07
1.4001050079e-10 1.2846192952e-07
1.4251068830e-10 1.3426723803e-07
1.4501087582e-10 1.4032624289e-07
1.4751106333e-10 1.4664962867e-07
1.5001125084e-10 1.5324851175e-07
1.5251143836e-10 1.6013445701e-07
1.5501162587e-10 1.6731949504e-07
1.5751181339e-10 1.7481614009e-07
1.6001200090e-10 1.8263740857e-07
1.6251218841e-10 1.9079683830e-07
1.6501237593e-10 1.9930850840e-07
1.6751256344e-10 2.0818705995e-07
1.7001275096e-10 2.1744771735e-07
1.7251293847e-10 2.2710631048e-07
1.7501312598e-10 2.3717929763e-07
1.7751331350e-10 2.4768378926e-07
1.8001350101e-10 2.5863757266e-07
1.8251368853e-10 2.7005913736e-07
1.8501387604e-10 2.8196770162e-07
1.8751406355e-10 2.9438323969e-07
1.9001425107e-10 3.0732651017e-07
1.9251443858e-10 3.2081908528e-07
1.9501462610e-10 3.3488338121e-07
1.9751481361e-10 3.4954268952e-07
2.0001500113e-10 3.6482120965e-07
2.0251518864e-10 3.8074408257e-07
2.0501537615e-10 3.9733742558e-07
2.0751556367e-10 4.1462836837e-07
2.1001575118e-10 4.3264509029e-07
2.1251593870e-10 4.5141685891e-07
2.1501612621e-10 4.7097406998e-07
2.1751631372e-10 4.9134828869e-07
2.2001650124e-10 5.1257229239e-07
2.2251668875e-10 5.3468011476e-07
2.2501687627e-10 5.5770709154e-07
2.2751706378e-10 5.8168990773e-07
2.3001725129e-10 6.0666664653e-07
2.3251743881e-10 6.3267683982e-07
2.3501762632e-10 6.5976152043e-07
2.3751781384e-10 6.8796327614e-07
2.4001800135e-10 7.1732630555e-07
2.4251818886e-10 7.4789647578e-07
2.4501837638e-10 7.7972138215e-07
2.4751856389e-10 8.1285040984e-07
2.5001875141e-10 8.4733479758e-07
2.5251893892e-10 8.8322770359e-07
2.5501912643e-10 9.2058427354e-07
2.5751931395e-10 9.5946171089e-07
2.6001950146e-10 9.9991934953e-07
2.6251968898e-10 1.0420187288e-06
2.6501987649e-10 1.0858236710e-06
2.6752006400e-10 1.1314003614e-06
2.7002025152e-10 1.1788174310e-06
2.7252043903e-10 1.2281460418e-06
2.7502062655e-10 1.2794599751e-06
2.7752081406e-10 1.3328357225e-06
2.8002100158e-10 1.3883525797e-06
2.8252118909e-10 1.4460927437e-06
2.8502137660e-10 1.5061414129e-06
2.8752156412e-10 1.5685868907e-06
2.9002175163e-10 1.6335206918e-06
2.9252193915e-10 1.7010376526e-06
2.9502212666e-10 1.7712360448e-06
2.9752231417e-10 1.8442176925e-06
3.0002250169e-10 1.9200880934e-06
3.0252268920e-10 1.9989565435e-06
3.0502287672e-10 2.0809362659e-06
3.0752306423e-10 2.1661445436e-06
3.1002325174e-10 2.2547028563e-06
3.1252343926e-10 2.3467370220e-06
3.1502362677e-10 2.4423773427e-06
3.1752381429e-10 2.5417587543e-06
3.2002400180e-10 2.6450209817e-06
3.2252418931e-10 2.7523086988e-06
3.2502437683e-10 2.8637716925e-06
3.2752456434e-10 2.9795650332e-06
3.3002475186e-10 3.0998492491e-06
3.3252493937e-10 3.2247905068e-06
3.3502512688e-10 3.3545607972e-06
3.3752531440e-10 3.4893381269e-06
3.4002550191e-10 3.6293067153e-06
3.4252568943e-10 3.7746571981e-06
3.4502587694e-10 3.9255868370e-06
3.4752606445e-10 4.0822997348e-06
3.5002625197e-10 4.2450070581e-06
3.5252643948e-10 4.4139272661e-06
3.5502662700e-10 4.5892863461e-06
3.5752681451e-10 4.7713180567e-06
3.6002700203e-10 4.9602641771e-06
3.6252718954e-10 5.1563747651e-06
3.6502737705e-10 5.3599084217e-06
